Name_phyl	ECV_T	ECV_OB	ECV_ROB	Activity	Locomotor_Mode	AdultBodyMass	DietBreadth	GestationLen	HomeRange	LitterSize	GR_Area	SeT	SeP	Burrow
Brachylagus_idahoensis	4511.381	117.222	4394.159	Crepuscular	Generalised	431.19	2	38.99	0.8	5.81	506906.1	2.791298306	4.6926226	1
Bunolagus_monticularis	11610.645	310.0075	11300.6375	Nocturnal	Saltatorial	1750.01	3	35	12	1.22	37052.01	1.519592336	2.325514191	1
Caprolagus_hispidus	12417.79	430.2	11987.59	Nocturnal	Generalised	2496.99	3	40	0.8	3.46	44515.42	1.572683601	38.79575611	1
Lepus_americanus	9043.093333	293.615	8749.478333	Crepuscular	Saltatorial	1568.42	3	36.57	5.87	3.54	9501181.22	3.144996407	4.22936624	0
Lepus_californicus	12920.966	447.037	12473.929	Nocturnal	Cursorial	2422.48	2	41.77	109	2.68	4402904.48	2.661365167	5.462985615	0
Lepus_capensis	10099.805	333.785	9766.02	Nocturnal	Cursorial	2047.11	3	41.99	7.4	2.44	21956899.35	1.103491009	7.238779227	1
Lepus_saxatilis	10891.7	367.575	10524.125	Nocturnal	Cursorial	2593.63		38.49		1.52	799775.78	1.273110035	9.696171228	0
Lepus_timidus	17120.02	545.0133333	16575.00667	Nocturnal	Saltatorial	3105.42		50.1	206	3.16	19946363.54	1.249932001	5.405029449	1
Oryctolagus_cuniculus	12590.18667	460.1966667	12129.99	Diurnal	Saltatorial	1590.57	2	30.45	3	5.24	2293893.27	1.703480154	19.20932822	1
Pentalagus_furnessi	12407.64	539.335	11868.305	Nocturnal	Saltatorial	2350	3		1.15	2.44	960.37	1.603414544	14.60928668	1
Poelagus_marjorita	11434.56667	430.8033333	11003.76333	Nocturnal	Saltatorial	2509.7		34.99	0.002	1.19	1928031.05	0.325057057	16.72376852	0
Pronolagus_randensis	11816.13	392.875	11423.255	Nocturnal	Saltatorial	2376.47	2	30		1.05	680369.23	1.062504042	13.38482228	1
Pronolagus_rupestris	9934.8	259.565	9675.235	Nocturnal	Saltatorial	2249.99	2	30		2	1388367.94	0.958938785	12.72354448	0
Romerolagus_diazi	5195.735	166.73	5029.005	Diurnal	Generalised	465.58	2	39.26		2.1	820.7	0.440707468	27.15216558	1
Sylvilagus_aquaticus	9965.61	407.425	9558.185	Nocturnal	Saltatorial	2133.34	2	37.24	3.1	3	884825.38	2.521145808	9.48583601	0
Sylvilagus_audubonii	7025.493333	242.3166667	6783.176667	Crepuscular	Saltatorial	880.88	2	28	7	3	3671590.57	2.200903578	4.474319616	1
Sylvilagus_obscurus	8590.43	354.61	8235.82	Crepuscular	Saltatorial	900		28	4	3.5	126801.2	2.568890765	7.756399095	1
Sylvilagus_palustris	8173.94	358.06	7815.88	Nocturnal	Saltatorial	1355.23	2	33.46	1.2	2.96	360038.77	1.924696042	10.35965675	0
